cat_gral,name,mes,ano,categoria,tipo,visitantes,ap
PN,Aconquija,3,2006,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,3,2006,Residentes,Menores,,PN Aconquija
PN,Aconquija,4,2006,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,4,2006,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,4,2006,Residentes,Residentes Provinciales,20,PN Aconquija
PN,Aconquija,4,2006,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,4,2006,Residentes,Estudiantes,12,PN Aconquija
PN,Aconquija,4,2006,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,4,2006,Residentes,Menores,,PN Aconquija
PN,Aconquija,5,2006,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,5,2006,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,5,2006,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,5,2006,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,5,2006,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,5,2006,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,5,2006,Residentes,Menores,,PN Aconquija
PN,Aconquija,6,2006,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,6,2006,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,6,2006,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,6,2006,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,6,2006,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,6,2006,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,6,2006,Residentes,Menores,,PN Aconquija
PN,Aconquija,7,2006,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,7,2006,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,7,2006,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,7,2006,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,7,2006,Residentes,Estudiantes,,PN Aconquija
